,0
INQ030,2.0
AUQ054,2.0
KIQ005,1.0
HUQ051,2.0
MCQ371D,1.0
MCQ560,2.0
HUQ071,2.0
OHQ033,1.0
MCQ092,2.0
DPQ040,0.0
PUQ110,2.0
SMQ020,2.0
